2.003338898	0	25	8.59E-09
4.006677796	0	25	8.58E-09
6.010016694	0	25	8.58E-09
8.013355593	0	25	8.57E-09
10.01669449	0	25	8.57E-09
12.02003339	0	25	8.55E-09
14.02337229	0	25	8.54E-09
16.02671119	0	25	8.52E-09
18.03005008	0	25	8.50E-09
20.03338898	0	25	8.48E-09
22.03672788	0	25	8.47E-09
24.04006678	0	25	8.46E-09
26.04340568	0	25	8.45E-09
28.04674457	0	25	8.44E-09
30.05008347	0	25	8.43E-09
32.05342237	0	25	8.42E-09
34.05676127	0	25	8.41E-09
36.06010017	0	25	8.39E-09
38.06343907	0	25	8.39E-09
40.06677796	0	25	8.38E-09
42.07011686	0	25	8.36E-09
44.07345576	0	25	8.35E-09
46.07679466	0	25	8.33E-09
48.08013356	0	25	8.31E-09
50.08347245	0	25	8.29E-09
52.08681135	0	25	8.28E-09
54.09015025	0	25	8.27E-09
56.09348915	0	25	8.25E-09
58.09682805	0	25	8.24E-09
60.10016694	0	25	8.23E-09
62.10350584	0	25	8.20E-09
64.10684474	0	25	8.17E-09
66.11018364	0	25	8.15E-09
68.11352254	0	25	8.12E-09
70.11686144	0	25	8.09E-09
72.12020033	0	25	8.06E-09
74.12353923	0	25	8.02E-09
76.12687813	0	25	7.98E-09
78.13021703	0	25	7.94E-09
80.13355593	0	25	7.89E-09
82.13689482	0	25	7.83E-09
84.14023372	0	25	7.77E-09
86.14357262	0	25	7.70E-09
88.14691152	0	25	7.63E-09
90.15025042	0	25	7.56E-09
92.15358932	0	25	7.49E-09
94.15692821	0	25	7.42E-09
96.16026711	0	25	7.36E-09
98.16360601	0	25	7.30E-09
100.1669449	0	25	7.24E-09
102.1702838	0	25	7.18E-09
104.1736227	0	25	7.13E-09
106.1769616	0	25	7.08E-09
108.1803005	0	25	7.03E-09
110.1836394	0	25	6.99E-09
112.1869783	0	25	6.95E-09
114.1903172	0	25	6.90E-09
116.1936561	0	25	6.86E-09
118.196995	0	25	6.83E-09
120.2003339	0	25	6.79E-09
122.2036728	0	25	6.74E-09
124.2070117	0	25	6.70E-09
126.2103506	0	25	6.65E-09
128.2136895	0	25	6.60E-09
130.2170284	0	25	6.55E-09
132.2203673	0	25	6.50E-09
134.2237062	0	25	6.46E-09
136.2270451	0	25	6.40E-09
138.230384	0	25	6.35E-09
140.2337229	0	25	6.30E-09
142.2370618	0	25	6.24E-09
144.2404007	0	25	6.19E-09
146.2437396	0	25	6.14E-09
148.2470785	0	25	6.09E-09
150.2504174	0	25	6.04E-09
152.2537563	0	25	6.00E-09
154.2570952	0	25	5.95E-09
156.2604341	0	25	5.91E-09
158.263773	0	25	5.87E-09
160.2671119	0	25	5.83E-09
162.2704508	0	25	5.80E-09
164.2737896	0	25	5.78E-09
166.2771285	0	25	5.76E-09
168.2804674	0	25	5.74E-09
170.2838063	0	25	5.73E-09
172.2871452	0	25	5.71E-09
174.2904841	0	25	5.70E-09
176.293823	0	25	5.69E-09
178.2971619	0	25	5.69E-09
180.3005008	0	25	5.69E-09
182.3038397	0	25	5.69E-09
184.3071786	0	25	5.70E-09
186.3105175	0	25	5.70E-09
188.3138564	0	25	5.71E-09
190.3171953	0	25	5.72E-09
192.3205342	0	25	5.73E-09
194.3238731	0	25	5.74E-09
196.327212	0	25	5.74E-09
198.3305509	0	25	5.75E-09
200.3338898	0	25	5.75E-09
202.3372287	0	25	5.74E-09
204.3405676	0	25	5.74E-09
206.3439065	0	25	5.73E-09
208.3472454	0	25	5.73E-09
210.3505843	0	25	5.73E-09
212.3539232	0	25	5.72E-09
214.3572621	0	25	5.72E-09
216.360601	0	25	5.72E-09
218.3639399	0	25	5.72E-09
220.3672788	0	25	5.72E-09
222.3706177	0	25	5.72E-09
224.3739566	0	25	5.72E-09
226.3772955	0	25	5.71E-09
228.3806344	0	25	5.70E-09
230.3839733	0	25	5.69E-09
232.3873122	0	25	5.67E-09
234.3906511	0	25	5.65E-09
236.39399	0	25	5.63E-09
238.3973289	0	25	5.61E-09
240.4006678	0	25	5.58E-09
242.4040067	0	25	5.55E-09
244.4073456	0	25	5.52E-09
246.4106845	0	25	5.48E-09
248.4140234	0	25	5.44E-09
250.4173623	0	25	5.41E-09
252.4207012	0	25	5.38E-09
254.4240401	0	25	5.35E-09
256.427379	0	25	5.32E-09
258.4307179	0	25	5.29E-09
260.4340568	0	25	5.27E-09
262.4373957	0	25	5.26E-09
264.4407346	0	25	5.24E-09
266.4440735	0	25	5.24E-09
268.4474124	0	25	5.24E-09
270.4507513	0	25	5.25E-09
272.4540902	0	25	5.25E-09
274.457429	0	25	5.26E-09
276.4607679	0	25	5.29E-09
278.4641068	0	25	5.31E-09
280.4674457	0	25	5.34E-09
282.4707846	0	25	5.39E-09
284.4741235	0	25	5.43E-09
286.4774624	0	25	5.49E-09
288.4808013	0	25	5.55E-09
290.4841402	0	25	5.62E-09
292.4874791	0	25	5.70E-09
294.490818	0	25	5.78E-09
296.4941569	0	25	5.87E-09
298.4974958	0	25	5.96E-09
300.5008347	0	25	6.04E-09
302.5041736	0	25	6.12E-09
304.5075125	0	25	6.20E-09
306.5108514	0	25	6.27E-09
308.5141903	0	25	6.34E-09
310.5175292	0	25	6.42E-09
312.5208681	0	25	6.49E-09
314.524207	0	25	6.57E-09
316.5275459	0	25	6.65E-09
318.5308848	0	25	6.73E-09
320.5342237	0	25	6.83E-09
322.5375626	0	25	6.93E-09
324.5409015	0	25	7.05E-09
326.5442404	0	25	7.19E-09
328.5475793	0	25	7.33E-09
330.5509182	0	25	7.50E-09
