   600.000000000       -200.000000000        10.0000000000      -7.810106220273E-003
   600.000000000       -199.000000000        10.0000000000      -7.697354324186E-003
   600.000000000       -198.000000000        10.0000000000      -7.584602428099E-003
   600.000000000       -197.000000000        10.0000000000      -7.471850532012E-003
   600.000000000       -196.000000000        10.0000000000      -7.359098635925E-003
   600.000000000       -195.000000000        10.0000000000      -7.246646454436E-003
   600.000000000       -194.000000000        10.0000000000      -7.134194272946E-003
   600.000000000       -193.000000000        10.0000000000      -7.021742091457E-003
   600.000000000       -192.000000000        10.0000000000      -6.909289909967E-003
   600.000000000       -191.000000000        10.0000000000      -6.796837728478E-003
   600.000000000       -190.000000000        10.0000000000      -6.684385546988E-003
   600.000000000       -189.000000000        10.0000000000      -6.571933365499E-003
   600.000000000       -188.000000000        10.0000000000      -6.459481184009E-003
   600.000000000       -187.000000000        10.0000000000      -6.347029002520E-003
   600.000000000       -186.000000000        10.0000000000      -6.234576821031E-003
   600.000000000       -185.000000000        10.0000000000      -6.122124639541E-003
   600.000000000       -184.000000000        10.0000000000      -6.009672458052E-003
   600.000000000       -183.000000000        10.0000000000      -5.897220276562E-003
   600.000000000       -182.000000000        10.0000000000      -5.784768095073E-003
   600.000000000       -181.000000000        10.0000000000      -5.672315913583E-003
   600.000000000       -180.000000000        10.0000000000      -5.559863732094E-003
   600.000000000       -179.000000000        10.0000000000      -5.447411550604E-003
   600.000000000       -178.000000000        10.0000000000      -5.334959369115E-003
   600.000000000       -177.000000000        10.0000000000      -5.222507187625E-003
   600.000000000       -176.000000000        10.0000000000      -5.110055006136E-003
   600.000000000       -175.000000000        10.0000000000      -5.013806026591E-003
   600.000000000       -174.000000000        10.0000000000      -4.933760248992E-003
   600.000000000       -173.000000000        10.0000000000      -4.853714471393E-003
   600.000000000       -172.000000000        10.0000000000      -4.773668693793E-003
   600.000000000       -171.000000000        10.0000000000      -4.693622916194E-003
   600.000000000       -170.000000000        10.0000000000      -4.613577138594E-003
   600.000000000       -169.000000000        10.0000000000      -4.533531360995E-003
   600.000000000       -168.000000000        10.0000000000      -4.453485583395E-003
   600.000000000       -167.000000000        10.0000000000      -4.373439805796E-003
   600.000000000       -166.000000000        10.0000000000      -4.293394028196E-003
   600.000000000       -165.000000000        10.0000000000      -4.213348250597E-003
   600.000000000       -164.000000000        10.0000000000      -4.133302472997E-003
   600.000000000       -163.000000000        10.0000000000      -4.053256695398E-003
   600.000000000       -162.000000000        10.0000000000      -3.973210917798E-003
   600.000000000       -161.000000000        10.0000000000      -3.893165140199E-003
   600.000000000       -160.000000000        10.0000000000      -3.813119362599E-003
   600.000000000       -159.000000000        10.0000000000      -3.733073585000E-003
   600.000000000       -158.000000000        10.0000000000      -3.653027807400E-003
   600.000000000       -157.000000000        10.0000000000      -3.572982029801E-003
   600.000000000       -156.000000000        10.0000000000      -3.492936252202E-003
   600.000000000       -155.000000000        10.0000000000      -3.412890474602E-003
   600.000000000       -154.000000000        10.0000000000      -3.152596320999E-003
   600.000000000       -153.000000000        10.0000000000      -3.080661069338E-003
   600.000000000       -152.000000000        10.0000000000      -3.010523505026E-003
   600.000000000       -151.000000000        10.0000000000      -2.938762656530E-003
   600.000000000       -150.000000000        10.0000000000      -2.873576871835E-003
   600.000000000       -149.000000000        10.0000000000      -2.808644133960E-003
   600.000000000       -148.000000000        10.0000000000      -2.745417154636E-003
   600.000000000       -147.000000000        10.0000000000      -2.683996729324E-003
   600.000000000       -146.000000000        10.0000000000      -2.624191071471E-003
   600.000000000       -145.000000000        10.0000000000      -2.566910469557E-003
   600.000000000       -144.000000000        10.0000000000      -2.511097436967E-003
   600.000000000       -143.000000000        10.0000000000      -2.456088570142E-003
   600.000000000       -142.000000000        10.0000000000      -2.402649322986E-003
   600.000000000       -141.000000000        10.0000000000      -2.350729659275E-003
   600.000000000       -140.000000000        10.0000000000      -2.300135905314E-003
   600.000000000       -139.000000000        10.0000000000      -2.251109845272E-003
   600.000000000       -138.000000000        10.0000000000      -2.206265715155E-003
   600.000000000       -137.000000000        10.0000000000      -2.157332235839E-003
   600.000000000       -136.000000000        10.0000000000      -2.112108392897E-003
   600.000000000       -135.000000000        10.0000000000      -2.063961875646E-003
   600.000000000       -134.000000000        10.0000000000      -2.025596352435E-003
   600.000000000       -133.000000000        10.0000000000      -1.983790557614E-003
   600.000000000       -132.000000000        10.0000000000      -1.943028270363E-003
   600.000000000       -131.000000000        10.0000000000      -1.903262215928E-003
   600.000000000       -130.000000000        10.0000000000      -1.864446576993E-003
   600.000000000       -129.000000000        10.0000000000      -1.826529324022E-003
   600.000000000       -128.000000000        10.0000000000      -1.789487185058E-003
   600.000000000       -127.000000000        10.0000000000      -1.753262924351E-003
   600.000000000       -126.000000000        10.0000000000      -1.717821449685E-003
   600.000000000       -125.000000000        10.0000000000      -1.683271398662E-003
   600.000000000       -124.000000000        10.0000000000      -1.649241044634E-003
   600.000000000       -123.000000000        10.0000000000      -1.615933604965E-003
   600.000000000       -122.000000000        10.0000000000      -1.583274117154E-003
   600.000000000       -121.000000000        10.0000000000      -1.551233614808E-003
   600.000000000       -120.000000000        10.0000000000      -1.519785830637E-003
   600.000000000       -119.000000000        10.0000000000      -1.488906628107E-003
   600.000000000       -118.000000000        10.0000000000      -1.458574202856E-003
   600.000000000       -117.000000000        10.0000000000      -1.428768802332E-003
   600.000000000       -116.000000000        10.0000000000      -1.399472278091E-003
   600.000000000       -115.000000000        10.0000000000      -1.370322437166E-003
   600.000000000       -114.000000000        10.0000000000      -1.342082273955E-003
